"carid","brand","model","accel","topspeed","range","efficiency","fastcharge","rapidcharge","powertrain","plugtype","bodystyle","segment","seats","priceeuro","TopSpeedKPH"
62,"Tesla","Model Y Long Range Performance","3.7 sec",241,"410 km","177 Wh/km","900 km/h","Rapid charging possible","AWD","Type 2 CCS","SUV","D",7,65620,241
66,"Porsche","Taycan 4S Plus","4.0 sec",250,"425 km","197 Wh/km","890 km/h","Rapid charging possible","AWD","Type 2 CCS","Sedan","F",4,109302,250
68,"Tesla","Cybertruck Dual Motor","5.0 sec",190,"460 km","261 Wh/km","710 km/h","Rapid charging possible","AWD","Type 2 CCS","Pickup","N",6,55000,190
70,"Ford","Mustang Mach-E ER AWD","6.0 sec",180,"430 km","209 Wh/km","410 km/h","Rapid charging possible","AWD","Type 2 CCS","SUV","D",5,62900,180
72,"Skoda","Enyaq iV 80X","7.0 sec",160,"400 km","193 Wh/km","540 km/h","Rapid charging possible","AWD","Type 2 CCS","SUV","C",5,45000,160
74,"Byton","M-Byte 95 kWh 4WD","5.5 sec",190,"390 km","244 Wh/km","460 km/h","Rapid charging possible","AWD","Type 2 CCS","SUV","E",5,64000,190
79,"Ford","Mustang Mach-E SR AWD","6.0 sec",180,"340 km","206 Wh/km","360 km/h","Rapid charging possible","AWD","Type 2 CCS","SUV","D",5,54000,180
80,"Porsche","Taycan Turbo","3.2 sec",260,"390 km","215 Wh/km","810 km/h","Rapid charging possible","AWD","Type 2 CCS","Sedan","F",4,148301,260
54,"Skoda","Enyaq iV 80","8.8 sec",160,"420 km","183 Wh/km","560 km/h","Rapid charging possible","RWD","Type 2 CCS","SUV","C",5,40000,160
56,"Honda","e Advance","8.3 sec",145,"170 km","168 Wh/km","190 km/h","Rapid charging possible","RWD","Type 2 CCS","Hatchback","B",4,35921,145
58,"Renault","Twingo ZE","12.6 sec",135,"130 km","164 Wh/km","-","Rapid charging not possible","RWD","Type 2","Hatchback","A",4,24790,135
65,"Ford","Mustang Mach-E ER RWD","7.0 sec",180,"450 km","200 Wh/km","430 km/h","Rapid charging possible","RWD","Type 2 CCS","SUV","D",5,54475,180
71,"BMW","i3s 120 Ah","6.9 sec",160,"230 km","165 Wh/km","260 km/h","Rapid charging possible","RWD","Type 2 CCS","Hatchback","B",4,41526,160
81,"Volkswagen","ID.3 1st","7.3 sec",160,"340 km","171 Wh/km","470 km/h","Rapid charging possible","RWD","Type 2 CCS","Hatchback","C",5,38987,160
83,"Smart","EQ fortwo coupe","11.6 sec",130,"100 km","167 Wh/km","-","Rapid charging not possible","RWD","Type 2","Hatchback","A",2,21387,130
84,"Ford","Mustang Mach-E SR RWD","6.6 sec",180,"360 km","194 Wh/km","380 km/h","Rapid charging possible","RWD","Type 2 CCS","SUV","D",5,46900,180
87,"Tesla","Cybertruck Single Motor","7.0 sec",180,"390 km","256 Wh/km","740 km/h","Rapid charging possible","RWD","Type 2 CCS","Pickup","N",6,45000,180
90,"Skoda","Enyaq iV 60","9.0 sec",160,"320 km","181 Wh/km","440 km/h","Rapid charging possible","RWD","Type 2 CCS","SUV","C",5,37500,160
92,"Smart","EQ fortwo cabrio","11.9 sec",130,"95 km","176 Wh/km","-","Rapid charging not possible","RWD","Type 2","Cabrio","A",2,24565,130
96,"Volkswagen","ID.3 Pro Performance","7.3 sec",160,"340 km","171 Wh/km","470 km/h","Rapid charging possible","RWD","Type 2 CCS","Hatchback","C",5,35575,160
57,"DS","3 Crossback E-Tense","8.7 sec",150,"250 km","180 Wh/km","380 km/h","Rapid charging possible","FWD","Type 2 CCS","SUV","B",5,37422,150
4,"BMW","iX3","6.8 sec",180,"360 km","206 Wh/km","560 km/h","Rapid charging possible","RWD","Type 2 CCS","SUV","D",5,68040,180
61,"Renault","Zoe ZE40 R110","11.4 sec",135,"255 km","161 Wh/km","230 km/h","Rapid charging possible","FWD","Type 2 CCS","Hatchback","B",5,29234,135
63,"Nissan","Ariya 87kWh","7.6 sec",160,"440 km","198 Wh/km","520 km/h","Rapid charging possible","FWD","Type 2 CCS","Hatchback","C",5,50000,160
89,"Skoda","Enyaq iV vRS","6.2 sec",180,"400 km","193 Wh/km","540 km/h","Rapid charging possible","AWD","Type 2 CCS","SUV","C",5,47500,180
91,"Audi","e-tron S 55 quattro","4.5 sec",210,"320 km","270 Wh/km","510 km/h","Rapid charging possible","AWD","Type 2 CCS","SUV","E",5,93800,210
1,"Tesla","Model 3 Long Range Dual Motor","4.6 sec",233,"450 km","161 Wh/km","940 km/h","Rapid charging possible","AWD","Type 2 CCS","Sedan","D",5,55480,233
3,"Polestar","2","4.7 sec",210,"400 km","181 Wh/km","620 km/h","Rapid charging possible","AWD","Type 2 CCS","Liftback","D",5,56440,210
94,"Nissan","Ariya e-4ORCE 87kWh","5.7 sec",200,"420 km","207 Wh/km","500 km/h","Rapid charging possible","AWD","Type 2 CCS","Hatchback","C",5,57500,200
100,"Audi","e-tron S Sportback 55 quattro","4.5 sec",210,"335 km","258 Wh/km","540 km/h","Rapid charging possible","AWD","Type 2 CCS","SUV","E",5,96050,210
11,"Mercedes","EQC 400 4MATIC","5.1 sec",180,"370 km","216 Wh/km","440 km/h","Rapid charging possible","AWD","Type 2 CCS","SUV","D",5,69484,180
17,"Porsche","Taycan Turbo S","2.8 sec",260,"375 km","223 Wh/km","780 km/h","Rapid charging possible","AWD","Type 2 CCS","Sedan","F",4,180781,260
22,"Tesla","Model Y Long Range Dual Motor","5.1 sec",217,"425 km","171 Wh/km","930 km/h","Rapid charging possible","AWD","Type 2 CCS","SUV","D",7,58620,217
25,"Tesla","Model 3 Long Range Performance","3.4 sec",261,"435 km","167 Wh/km","910 km/h","Rapid charging possible","AWD","Type 2 CCS","Sedan","D",5,61480,261
28,"Volvo","XC40 P8 AWD Recharge","4.9 sec",180,"375 km","200 Wh/km","470 km/h","Rapid charging possible","AWD","Type 2 CCS","SUV","C",5,60437,180
